ym:s:deviceCategory,ym:s:visits,ym:s:users,ym:s:pageviews,ym:s:bounceRate,ym:s:pageDepth,ym:s:avgVisitDurationSeconds
Смартфоны,46.0,27.0,86.0,28.26086957,1.86956522,132.39130435
ПК,10.0,9.0,13.0,60.0,1.3,79.2
